Reasoner,o1 query1,o1 query2,o10 query1,o10 query2,o100 query1,o100 query2,o1000 query1,o1000 query2,o500 query1,o500 query2
KAON,2,2,3,3,17,14,634,521,165,270
MINS,10,8,18,24,389,557,33396,47552,3940,4918
