Reasoner,o1 query1,o1 query2,o10 query1,o10 query2,o100 query1,o100 query2,o1000 query1,o1000 query2,o500 query1,o500 query2
KAON,53,26,27,38,228,228,13656,11207,3664,2751
IRIS,12,4,10,7,107,106,3632,3103,1000,1007
MINS,18,13,21,31,350,621,7535,15584,2560,4077
