Reasoner,o1 query1,o1 query2,o10 query1,o10 query2,o100 query1,o100 query2,o1000 query1,o1000 query2,o500 query1,o500 query2
KAON,32,9,14,10,43,39,1608,1548,485,453
IRIS,15,5,14,11,196,193,9281,9233,2624,2611
MINS,24,25,38,21,353,22,5000,21,2271,21
