Reasoner,o1 query1,o1 query2,o10 query1,o10 query2,o100 query1,o100 query2,o1000 query1,o1000 query2,o500 query1,o500 query2
KAON,14,15,10,10,119,126,6938,6585,1891,1892
IRIS,5,4,15,15,239,243,11551,11609,3110,3124
MINS,23,40,57,76,983,994,23449,23211,6339,5740
