Reasoner,o1 query1,o1 query2,o10 query1,o10 query2,o100 query1,o100 query2,o1000 query1,o1000 query2,o500 query1,o500 query2
KAON,2,2,3,2,13,11,684,500,149,123
MINS,9,17,12,17,111,265,3605,5846,1330,2237
