Reasoner,o1 query1,o1 query2,o10 query1,o10 query2,o100 query1,o100 query2,o1000 query1,o1000 query2,o500 query1,o500 query2
KAON,7,5,9,7,37,32,1489,1400,409,381
IRIS,2,1,7,7,138,132,6207,6023,1619,1581
MINS,11,18,19,25,121,135,2072,2222,871,926
