Reasoner,o1 query1,o1 query2,o1 query3,o10 query1,o10 query2,o10 query3,o100 query1,o100 query2,o100 query3,o500 query1,o500 query2,o500 query3
KAON,50,41,36,59,80,46,963,435,417,14557,10930,10929
MINS,26,14,21,40,25,25,648,407,409,5425,3777,3787
