Reasoner,o1 query1,o1 query2,o1 query3,o10 query1,o10 query2,o10 query3,o100 query1,o100 query2,o100 query3
KAON,55,71,44,110,66,85,1837,979,976
MINS,21,15,25,27,21,21,388,260,259
