Reasoner,o1 query1,o1 query2,o10 query1,o10 query2,o100 query1,o100 query2,o1000 query1,o1000 query2,o500 query1,o500 query2
KAON,23,6,8,8,40,38,1712,1419,437,408
IRIS,3,3,23,21,391,387,16957,16020,5026,5017
MINS,15,25,22,39,132,286,2089,4885,878,1957
